imagem,metodo,entropia_bits,grad_medio,contraste_rms
sailboat,original,7.191370218069242,65.81227404179508,46.6771584339448
sailboat,homomorfico,6.331874355876562,90.51225586225195,28.72209346233847
sailboat,unsharp k=1.2,7.4326734099658385,108.50395533030212,53.06179688826842
sailboat,unsharp k=2.5,7.277706986008074,116.41548492826004,45.086789349968036
cameraman,original,7.089850135776284,61.75513540849878,62.0125676988949
cameraman,homomorfico,5.689082621697619,79.48841996737117,29.387240614310628
cameraman,unsharp k=1.2,7.084323329300493,82.77245382692165,56.22490314668517
cameraman,unsharp k=2.5,6.86667687873442,87.40595233117202,45.78714765252077
